Wołów,12298
Błonie,12134
Pasłęk,12117
Aleksandrów Kujawski,12058
Góra Kalwaria,11988
Warka,11926
Dąbrowa Tarnowska,11844
Lubaczów,11830
Wasilków,11802
Janów Lubelski,11661
Mogilno,11652
Góra,11574
Szydłowiec,11557
Szprotawa,11530
Miechów,11500
Drawsko Pomorskie,11417
Zdzieszowice,11246
Milicz,11199
Krosno Odrzańskie,11155
Węgorzewo,11144
Puck,11139
Rogoźno,11124
Brzeszcze,11092
Koronowo,11070
Wronki,11064
Myślibórz,11049
Wisła,11007
Nowa Dęba,11006
Nowe Miasto Lubawskie,10709
Kowary,10650
Biskupiec,10628
Parczew,10555
Ciechocinek,10534
Pińczów,10524
Międzychód,10476
Czarnków,10464
Krynica-Zdrój,10456
Murowana Goślina,10410
Lubawa,10374
Syców,10340
Miastko,10211
Kolno,10143
Łobez,10048
Dobre Miasto,10010
Sulęcin,10005
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
